subject_id,title,rating,genre,release_year,duration,summary,country,directors,detail_url,comment_len
1296996,哈利·波特与密室,8.9,奇幻 冒险/艾玛... 2002/英国 美国,2002,0,,英国 美国/奇幻 冒险,Chris/Columbus,https://movie.douban.com/subject/1296996/,0
1292434,一一,9.1,中国台湾 日本/剧情 爱情 家庭,2000,0,,李凯莉 Kelly Lee/中国台湾 日本/剧情 爱情 家庭,杨德昌/Edward/Yang,https://movie.douban.com/subject/1292434/,0
1302425,喜剧之王,8.8,中国香港/喜剧 剧情 爱情,1999,0,,中国香港/喜剧 剧情 爱情,周星驰/Stephen/Chow,https://movie.douban.com/subject/1302425/,0
1294371,摩登时代,9.3,剧情 喜剧 爱情/美国,1936,0,,美国/剧情 喜剧 爱情,查理·卓别林/Charles/Chaplin,https://movie.douban.com/subject/1294371/,0
1300299,杀人回忆,8.9,韩国,2003,0,,韩国/剧情 动作 犯罪 悬疑 惊悚,奉俊昊/Joon-ho/Bong,https://movie.douban.com/subject/1300299/,0
1297192,致命ID,8.9,剧情 悬疑 惊悚/美国/雷... 2003,2003,0,,美国/剧情 悬疑 惊悚,詹姆斯·曼高德/James/Mangold,https://movie.douban.com/subject/1297192/,0
1292679,春光乍泄,9.0,中国香港 日本 韩国/剧情 爱情 同性,1997,0,,中国香港 日本 韩国/剧情 爱情 同性,王家卫/Kar/Wai,https://movie.douban.com/subject/1292679/,0
1298070,加勒比海盗,8.8,... 2003/动作 冒险 奇幻/美国,2003,0,,美国/动作 冒险 奇幻,戈尔·维宾斯基/Gore/Verbinski,https://movie.douban.com/subject/1298070/,0
3442220,海豚湾,9.3,纪录片/美国,2009,0,,美国/纪录片,路易·西霍尤斯/Louie/Psihoyos,https://movie.douban.com/subject/3442220/,0
1292262,美国往事,9.1,犯罪 剧情/美国 意大利,1984,0,,美国 意大利/犯罪 剧情,赛尔乔·莱翁内/Sergio/Leone,https://movie.douban.com/subject/1292262/,0
1865703,红辣椒,9.0,动画 悬疑 科幻 惊悚/日本,2006,0,,日本/动画 悬疑 科幻 惊悚,今敏/Satoshi/Kon,https://movie.douban.com/subject/1865703/,0
1292223,七宗罪,8.8,剧情 犯罪 悬疑 惊悚/布... 1995/美国,1995,0,,美国/剧情 犯罪 悬疑 惊悚,大卫·芬奇/David/Fincher,https://movie.douban.com/subject/1292223/,0
1306249,唐伯虎点秋香,8.8,中国香港/喜剧 爱情 古装/巩俐 Li Gong/陈... 1993,1993,0,,巩俐 Li Gong/中国香港/喜剧 爱情 古装,李力持/Lik-Chi/Lee,https://movie.douban.com/subject/1306249/,0
6985810,狩猎,9.1,丹麦 瑞典/剧情,2012,0,,丹麦 瑞典/剧情,托马斯·温特伯格/Thomas/Vinterberg,https://movie.douban.com/subject/6985810/,0
1297359,幽灵公主,8.9,动画 奇幻 冒险/日本/石田百合... 1997,1997,0,,日本/动画 奇幻 冒险,宫崎骏/Hayao/Miyazaki,https://movie.douban.com/subject/1297359/,0
1305164,甜蜜蜜,8.9,... 1996/中国香港/剧情 爱情,1996,0,,张曼玉 Maggie Cheung/中国香港/剧情 爱情,陈可辛/Peter/Chan,https://movie.douban.com/subject/1305164/,0
27010768,寄生虫,8.8,剧情/韩国,2019,0,,韩国/剧情,奉俊昊/Joon-ho/Bong,https://movie.douban.com/subject/27010768/,0
1428581,天书奇谭,9.2,2021/中国大陆/动画 奇幻,1983,0,,中国大陆/动画 奇幻,王树忱/Shuchen/Wang,https://movie.douban.com/subject/1428581/,0
3395373,蝙蝠侠：黑暗骑士崛起,8.9,美国 英国,2012,0,,美国 英国/剧情 动作 科幻 犯罪 惊悚,克里斯托弗·诺兰/Christopher/Nolan,https://movie.douban.com/subject/3395373/,0
11026735,超能陆战队,8.8,美国,2014,0,,美国/喜剧 动作 科幻 动画 冒险,唐·霍尔/Don/Hall,https://movie.douban.com/subject/11026735/,0
10777687,7号房的礼物,8.9,剧情 喜剧 家庭/韩国,2013,0,,韩国/剧情 喜剧 家庭,李焕庆/Hwan-kyeong/Lee,https://movie.douban.com/subject/10777687/,0
